Row,References,Part,Value,P/N,Manufacture,Source,Supplier P/N,Link,Footprint,Description,Quantity Per PCB
1,C213 C214,C,10 pF,CL05C100JB5NNNC,Samsung Electro-Mechanics,,,https://jlcpcb.com/partdetail/33914-CL05C100JB5NNNC/C32949,C_0402_1005Metric,50V 10pF C0G ±5% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,2
2,C211 C212,C,20 pF,0402CG200J500NT,FH (Guangdong Fenghua Advanced Tech),,,https://jlcpcb.com/partdetail/Yageo-CC0805KRX7R9BB221/C107145,C_0402_1005Metric,50V 20pF C0G ±5% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,2
3,C201 C205 C206 C207 C208 C209 C210 C215 C403 C404 C405 C406 C407 C408 C503,C,100 nF,CL05B104KB54PNC,Samsung Electro-Mechanics,,,https://jlcpcb.com/partdetail/291005-CL05B104KB54PNC/C307331,C_0402_1005Metric,50V 100nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,15
4,C401 C402,C,1 µF,CL21B105KBFNNNE,Samsung Electro-Mechanics,,,https://jlcpcb.com/partdetail/29074-CL21B105KBFNNNE/C28323,C_0805_2012Metric,50V 1uF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,2
5,C501,C_Polarized,10 µF,RVT1H100M0505,ROQANG,,,https://jlcpcb.com/partdetail/Roqang-RVT1H100M0505/C72487,CP_Elec_5x5.4,"-45℃~+105℃ 2000hrs@105℃ 10uF 5.4mm 50V 5mm ±20% SMD,D5xL5.4mm Aluminum Electrolytic Capacitors - SMD ROHS",1
6,C502,C_Polarized,22 µF,RVT1H220M0605,ROQANG,,,https://jlcpcb.com/partdetail/Roqang-RVT1H220M0605/C72505,CP_Elec_6.3x5.4,"-45℃~+105℃ 2000hrs@105℃ 22uF 5.4mm 50V 6.3mm ±20% SMD,D6.3xL5.4mm Aluminum Electrolytic Capacitors - SMD ROHS",1
7,C202 C203 C204,C_Polarized,1 F,SCV0001C0-003R0LTZ,SPSCAP,,,https://www.tme.eu/en/details/scv1f-3.0v-ltz/supercapacitors/spscap/scv0001c0-003r0ltz/,CP_Radial_D8.0mm_P3.50mm,Supercapacitor; 1F; 3VDC; Body dim: Ø8x12mm; Pitch: 3.5mm; Ir: 5uA,3
8,D201 D501 D502,1N4148WS,1N4148WS,1N4148WS,"Jiangsu Changjing Electronics Technology Co., Ltd.",,,https://jlcpcb.com/partdetail/2485-1N4148WS/C2128,D_SOD-323,100V +150℃@(Tj) 200mW Single 1.25V@150mA 4ns 1uA@75V 150mA SOD-323 Switching Diode ROHS,3
9,D202 D203 D204 D205 D206 D207,ESD9B3.3ST5G,ESD9B3.3ST5G,ESD9B3.3ST5G,onsemi,,,https://jlcpcb.com/partdetail/Onsemi-ESD9B33ST5G/C96512,D_SOD-923,11.5V 2A 3.3V (Max) 5V Bidirectional SOD-923 ESD Protection Devices ROHS,6
10,D401,LED,LED,19-217/GHC-YR1S2/3T,Everlight Elec,,,https://jlcpcb.com/partdetail/EverlightElec-19_217_GHC_YR1S23T/C72043,LED_0603_1608Metric,20mA 518nm Colorless transparence -40℃~+85℃ 520nm~535nm Emerald 120° 110mW 0603 Light Emitting Diodes (LED) ROHS,1
